obs_wl_air(nm),unc_obs_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""448.80926""","=""0.00004""","=""22274.9308""","=""3000""","=""""",,"=""148257.7898""","=""170532.7169""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""2""",,"=""""","=""L3451""",
"=""449.17716""","=""0.00020""","=""22256.687""","=""800""","=""""",,"=""149824.2215""","=""172080.915""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).9s""","=""2[3/2]*""","=""1""",,"=""""","=""L4498""",
"=""449.1838""","=""0.0020""","=""22256.36""","=""500""","=""""",,"=""150315.8612""","=""172572.22""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).9d""","=""2[5/2]*""","=""3""",,"=""""","=""L3469""",
"=""449.2132""","=""0.0020""","=""22254.90""","=""50""","=""""",,"=""150315.8612""","=""172570.83""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).9d""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""449.2412""","=""0.0020""","=""22253.51""","=""300""","=""""",,"=""150315.8612""","=""172569.40""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).9d""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""449.2689""","=""0.0020""","=""22252.14""","=""150""","=""""",,"=""150315.8612""","=""172568.083""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).9d""","=""2[7/2]*""","=""3""",,"=""""","=""L3469""",
"=""449.3108""","=""0.0020""","=""22250.07""","=""50""","=""""",,"=""150315.8612""","=""172565.93""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).9d""","=""2[1/2]*""","=""1""",,"=""""","=""L3469""",
"=""449.3699""","=""0.0020""","=""22247.14""","=""500""","=""""",,"=""149824.2215""","=""172071.389""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).9s""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""449.9000""","=""0.0020""","=""22220.93""","=""20""","=""""",,"=""151038.4524""","=""173259.46""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).10s""","=""2[1/2]*""","=""1""",,"=""""","=""L3469""",
"=""449.9843""","=""0.0020""","=""22216.77""","=""50*""","=""""",,"=""151038.4524""","=""173255.24""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).10s""","=""2[1/2]*""","=""0""",,"=""""","=""L3469""",
"=""449.9843""","=""0.0020""","=""22216.77""","=""50*""","=""""",,"=""150772.1118""","=""172988.99""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).8d""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""450.01820""","=""0.00010""","=""22215.092""","=""500""","=""""",,"=""150772.1118""","=""172987.204""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).8d""","=""2[5/2]*""","=""2""",,"=""""","=""L7292""",
"=""451.0170""","=""0.0020""","=""22165.90""","=""150""","=""""",,"=""150315.8612""","=""172481.8376""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).10s""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""451.1509""","=""0.0020""","=""22159.32""","=""200*""","=""""",,"=""150858.5079""","=""173017.98""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).11d""","=""2[1/2]*""","=""1""",,"=""""","=""L3469""",
"=""451.1509""","=""0.0020""","=""22159.32""","=""200*""","=""""",,"=""150315.8612""","=""172475.321""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).10s""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""451.4891""","=""0.0020""","=""22142.72""","=""700""","=""""",,"=""150315.8612""","=""172458.613""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).7d""","=""2[5/2]*""","=""3""",,"=""""","=""L3469""",
"=""451.5022""","=""0.0020""","=""22142.08""","=""20""","=""""",,"=""150315.8612""","=""172457.823""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).7d""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""451.5411""","=""0.0020""","=""22140.17""","=""300""","=""""",,"=""150121.5922""","=""172261.741""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).8s""","=""2[1/2]*""","=""1""",,"=""""","=""L3469""",
"=""451.6936""","=""0.0020""","=""22132.69""","=""500""","=""""",,"=""150121.5922""","=""172254.295""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).8s""","=""2[1/2]*""","=""0""",,"=""""","=""L3469""",
"=""451.77360""","=""0.00010""","=""22128.775""","=""1000""","=""""",,"=""150858.5079""","=""172987.283""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).8d""","=""2[5/2]*""","=""3""",,"=""""","=""L7292""",
"=""452.57640""","=""0.00010""","=""22089.523""","=""700""","=""""",,"=""150121.5922""","=""172211.107""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).8d""","=""2[5/2]*""","=""2""",,"=""""","=""L7292""",
"=""452.6177""","=""0.0020""","=""22087.51""","=""500""","=""""",,"=""150121.5922""","=""172209.15""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).8d""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""452.6685""","=""0.0020""","=""22085.03""","=""150*""","=""""",,"=""150772.1118""","=""172857.00""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).9s""","=""2[1/2]*""","=""1""",,"=""""","=""L3469""",
"=""452.6685""","=""0.0020""","=""22085.03""","=""150*""","=""""",,"=""150121.5922""","=""172206.770""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).8d""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""452.7725""","=""0.0020""","=""22079.96""","=""150""","=""""",,"=""150772.1118""","=""172852.13""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).9s""","=""2[1/2]*""","=""0""",,"=""""","=""L3469""",
"=""452.7973""","=""0.0020""","=""22078.75""","=""10""","=""""",,"=""150121.5922""","=""172200.33""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).8d""","=""2[1/2]*""","=""0""",,"=""""","=""L3469""",
"=""452.9476""","=""0.0020""","=""22071.42""","=""300""","=""""",,"=""150917.4307""","=""172988.99""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""0""","=""2s2.2p5.(2P*<1/2>).8d""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""453.2395""","=""0.0020""","=""22057.21""","=""10""","=""""",,"=""150772.1118""","=""172829.30""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).10d""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""453.63003""","=""0.00020""","=""22038.217""","=""1500""","=""4.29e+05""",C,"=""148257.7898""","=""170296.0099""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""1""",,"=""T6976""","=""L4498""",
"=""453.76768""","=""0.00020""","=""22031.532""","=""3000""","=""4.77e+05""",C+,"=""148257.7898""","=""170289.3243""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).5d""","=""2[5/2]*""","=""2""",,"=""T6976""","=""L4498""",
"=""453.77545""","=""0.00004""","=""22031.1544""","=""10000""","=""8.16e+05""",C+,"=""148257.7898""","=""170288.9415""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""2""",,"=""T6976""","=""L3451""",
"=""453.83026""","=""0.00020""","=""22028.494""","=""3000""","=""""",,"=""149657.0392""","=""171685.542""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).7d""","=""2[5/2]*""","=""3""",,"=""""","=""L4498""",
"=""453.9168""","=""0.0020""","=""22024.29""","=""500""","=""""",,"=""149657.0392""","=""171681.348""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).7d""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""454.03801""","=""0.00004""","=""22018.4145""","=""500""","=""""",,"=""149657.0392""","=""171675.459""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).7d""","=""2[7/2]*""","=""4""",,"=""""","=""L3451""",
"=""454.4502""","=""0.0020""","=""21998.44""","=""500""","=""""",,"=""150858.5079""","=""172857.00""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).9s""","=""2[1/2]*""","=""1""",,"=""""","=""L3469""",
"=""454.5729""","=""0.0020""","=""21992.51""","=""10""","=""""",,"=""150772.1118""","=""172764.60""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).11s""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""454.7218""","=""0.0020""","=""21985.30""","=""100""","=""""",,"=""149657.0392""","=""171642.4494""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<1/2>).6d""","=""2[5/2]*""","=""3""",,"=""""","=""L3469""",
"=""454.7728""","=""0.0020""","=""21982.84""","=""150""","=""""",,"=""149657.0392""","=""171639.9741""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<1/2>).6d""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""455.0640""","=""0.0020""","=""21968.77""","=""10""","=""""",,"=""150858.5079""","=""172827.35""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).10d""","=""2[7/2]*""","=""3""",,"=""""","=""L3469""",
"=""455.25980""","=""0.00010""","=""21959.324""","=""300""","=""""",,"=""150121.5922""","=""172080.915""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).9s""","=""2[3/2]*""","=""1""",,"=""""","=""L7292""",
"=""455.4415""","=""0.0020""","=""21950.56""","=""100""","=""""",,"=""151038.4524""","=""172988.99""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).8d""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""455.4561""","=""0.0020""","=""21949.86""","=""50""","=""""",,"=""150121.5922""","=""172071.389""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).9s""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""455.4824""","=""0.0020""","=""21948.59""","=""400""","=""""",,"=""151038.4524""","=""172987.07""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).8d""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""455.5392""","=""0.0020""","=""21945.86""","=""300""","=""""",,"=""150315.8612""","=""172261.741""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).8s""","=""2[1/2]*""","=""1""",,"=""""","=""L3469""",
"=""455.6698""","=""0.0020""","=""21939.57""","=""20""","=""""",,"=""150917.4307""","=""172857.00""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""0""","=""2s2.2p5.(2P*<1/2>).9s""","=""2[1/2]*""","=""1""",,"=""""","=""L3469""",
"=""456.2449""","=""0.0020""","=""21911.91""","=""10""","=""""",,"=""150917.4307""","=""172829.30""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""0""","=""2s2.2p5.(2P*<3/2>).10d""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""456.58880""","=""0.00010""","=""21895.408""","=""600""","=""""",,"=""150315.8612""","=""172211.266""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).8d""","=""2[5/2]*""","=""3""",,"=""""","=""L7292""",
"=""456.6830""","=""0.0020""","=""21890.89""","=""400""","=""""",,"=""150315.8612""","=""172206.770""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).8d""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""456.7139""","=""0.0020""","=""21889.41""","=""150""","=""""",,"=""150315.8612""","=""172205.272""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).8d""","=""2[7/2]*""","=""3""",,"=""""","=""L3469""",
"=""456.7845""","=""0.0020""","=""21886.03""","=""100""","=""""",,"=""150315.8612""","=""172201.878""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).8d""","=""2[1/2]*""","=""1""",,"=""""","=""L3469""",
"=""457.30609""","=""0.00020""","=""21861.065""","=""50""","=""""",,"=""149824.2215""","=""171685.289""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).7d""","=""2[5/2]*""","=""2""",,"=""""","=""L4498""",
"=""457.3557""","=""0.0020""","=""21858.69""","=""500""","=""""",,"=""149824.2215""","=""171682.914""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).7d""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""457.3898""","=""0.0020""","=""21857.06""","=""300""","=""""",,"=""149824.2215""","=""171681.348""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).7d""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""457.50620""","=""0.00004""","=""21851.5035""","=""3000""","=""""",,"=""149824.2215""","=""171675.728""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).7d""","=""2[7/2]*""","=""3""",,"=""""","=""L3451""",
"=""457.5858""","=""0.0020""","=""21847.70""","=""200""","=""""",,"=""149824.2215""","=""171671.928""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).7d""","=""2[1/2]*""","=""1""",,"=""""","=""L3469""",
"=""458.20350""","=""0.00010""","=""21818.250""","=""1500""","=""""",,"=""149824.2215""","=""171642.4494""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).6d""","=""2[5/2]*""","=""3""",,"=""""","=""L7292""",
"=""458.2105""","=""0.0020""","=""21817.92""","=""150""","=""""",,"=""149824.2215""","=""171642.1580""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).6d""","=""2[5/2]*""","=""2""",,"=""""","=""L3469""",
"=""458.24521""","=""0.00004""","=""21816.2642""","=""1500""","=""""",,"=""149657.0392""","=""171473.311""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""2""",,"=""""","=""L3451""",
"=""458.2556""","=""0.0020""","=""21815.77""","=""150""","=""""",,"=""149824.2215""","=""171639.9741""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).6d""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""458.2980""","=""0.0020""","=""21813.75""","=""50""","=""""",,"=""151038.4524""","=""172852.13""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).9s""","=""2[1/2]*""","=""0""",,"=""""","=""L3469""",
"=""458.5876""","=""0.0020""","=""21799.98""","=""100""","=""""",,"=""150772.1118""","=""172572.12""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).9d""","=""2[5/2]*""","=""2""",,"=""""","=""L3469""",
"=""458.6145""","=""0.0020""","=""21798.70""","=""20""","=""""",,"=""150772.1118""","=""172570.83""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).9d""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""459.3243""","=""0.0020""","=""21765.01""","=""500""","=""""",,"=""150315.8612""","=""172080.915""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).9s""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""459.5249""","=""0.0020""","=""21755.51""","=""500""","=""""",,"=""150315.8612""","=""172071.389""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).9s""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""460.4095""","=""0.0020""","=""21713.71""","=""150""","=""""",,"=""150858.5079""","=""172572.22""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).9d""","=""2[5/2]*""","=""3""",,"=""""","=""L3469""",
"=""460.4680""","=""0.0020""","=""21710.95""","=""10""","=""""",,"=""150858.5079""","=""172569.40""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).9d""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""460.4938""","=""0.0020""","=""21709.74""","=""50""","=""""",,"=""150772.1118""","=""172481.8376""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).10s""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""460.9365""","=""0.0020""","=""21688.89""","=""300""","=""""",,"=""150772.1118""","=""172460.966""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).7d""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""460.99100""","=""0.00010""","=""21686.323""","=""1500""","=""""",,"=""150772.1118""","=""172458.427""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).7d""","=""2[5/2]*""","=""2""",,"=""""","=""L7292""",
"=""461.43910""","=""0.00010""","=""21665.263""","=""1000""","=""""",,"=""149824.2215""","=""171489.486""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""1""",,"=""""","=""L7292""",
"=""461.6911""","=""0.0020""","=""21653.44""","=""50""","=""""",,"=""150917.4307""","=""172570.83""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""0""","=""2s2.2p5.(2P*<3/2>).9d""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""461.78370""","=""0.00010""","=""21649.096""","=""700""","=""""",,"=""149824.2215""","=""171473.311""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""2""",,"=""""","=""L7292""",
"=""462.7799""","=""0.0020""","=""21602.49""","=""20""","=""""",,"=""150858.5079""","=""172460.966""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).7d""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""462.83113""","=""0.00004""","=""21600.1032""","=""1500""","=""""",,"=""150858.5079""","=""172458.613""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).7d""","=""2[5/2]*""","=""3""",,"=""""","=""L3451""",
"=""462.8460""","=""0.0020""","=""21599.41""","=""300""","=""""",,"=""150858.5079""","=""172457.823""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).7d""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""463.61250""","=""0.00010""","=""21563.699""","=""700""","=""""",,"=""150121.5922""","=""171685.289""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).7d""","=""2[5/2]*""","=""2""",,"=""""","=""L7292""",
"=""463.66362""","=""0.00020""","=""21561.322""","=""700""","=""""",,"=""150121.5922""","=""171682.914""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).7d""","=""2[3/2]*""","=""1""",,"=""""","=""L4498""",
"=""463.6974""","=""0.0020""","=""21559.75""","=""500""","=""""",,"=""150121.5922""","=""171681.348""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).7d""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""463.9591""","=""0.0020""","=""21547.59""","=""300""","=""""",,"=""150121.5922""","=""171669.172""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).7d""","=""2[1/2]*""","=""0""",,"=""""","=""L3469""",
"=""464.0443""","=""0.0020""","=""21543.63""","=""700""","=""""",,"=""150917.4307""","=""172460.966""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""0""","=""2s2.2p5.(2P*<1/2>).7d""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""464.3182""","=""0.0020""","=""21530.93""","=""50""","=""""",,"=""151038.4524""","=""172569.40""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).9d""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""464.3931""","=""0.0020""","=""21527.45""","=""20""","=""""",,"=""151038.4524""","=""172565.93""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).9d""","=""2[1/2]*""","=""1""",,"=""""","=""L3469""",
"=""464.4833""","=""0.0020""","=""21523.27""","=""400""","=""""",,"=""150121.5922""","=""171644.882""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).6d""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""464.54180""","=""0.00004""","=""21520.5623""","=""3000""","=""""",,"=""150121.5922""","=""171642.1580""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).6d""","=""2[5/2]*""","=""2""",,"=""""","=""L3451""",
"=""464.5885""","=""0.0020""","=""21518.40""","=""10""","=""""",,"=""150121.5922""","=""171639.9741""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).6d""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""464.99040""","=""0.00010""","=""21499.801""","=""700""","=""""",,"=""149824.2215""","=""171324.0107""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).7s""","=""2[1/2]*""","=""1""",,"=""""","=""L7292""",
"=""465.2101""","=""0.0020""","=""21489.65""","=""300""","=""""",,"=""150772.1118""","=""172261.741""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).8s""","=""2[1/2]*""","=""1""",,"=""""","=""L3469""",
"=""465.3699""","=""0.0020""","=""21482.27""","=""500""","=""""",,"=""150772.1118""","=""172254.295""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).8s""","=""2[1/2]*""","=""0""",,"=""""","=""L3469""",
"=""465.63936""","=""0.00004""","=""21469.8368""","=""3000""","=""""",,"=""148257.7898""","=""169727.6312""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""",,"=""""","=""L3451""",
"=""466.11054""","=""0.00004""","=""21448.1338""","=""1500""","=""""",,"=""148257.7898""","=""169705.9275""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""0""",,"=""""","=""L3451""",
"=""466.3092""","=""0.0020""","=""21439.00""","=""400""","=""""",,"=""150772.1118""","=""172211.107""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).8d""","=""2[5/2]*""","=""2""",,"=""""","=""L3469""",
"=""466.3518""","=""0.0020""","=""21437.04""","=""200""","=""""",,"=""150772.1118""","=""172209.15""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).8d""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""466.6654""","=""0.0020""","=""21422.63""","=""500""","=""""",,"=""151038.4524""","=""172460.966""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).7d""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""466.73643""","=""0.00020""","=""21419.372""","=""1000""","=""""",,"=""151038.4524""","=""172457.823""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).7d""","=""2[3/2]*""","=""2""",,"=""""","=""L4498""",
